"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","FUNDING RATE","COMMISSION","CONVERSION RATE","CONVERSION FEE","PL","AMOUNT","BALANCE"
"3661","2026-01-07 16:50:47 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3662","2026-01-07 16:50:47 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3663","2026-01-07 17:05:49 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3664","2026-01-07 17:05:49 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3665","2026-01-07 17:20:49 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3666","2026-01-07 17:20:49 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3667","2026-01-07 17:35:50 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3668","2026-01-07 17:35:50 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3669","2026-01-07 17:50:51 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3670","2026-01-07 17:50:51 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3671","2026-01-07 18:05:51 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3672","2026-01-07 18:05:51 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3673","2026-01-07 18:20:52 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3674","2026-01-07 18:20:52 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3675","2026-01-07 18:35:53 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3676","2026-01-07 18:35:53 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3677","2026-01-07 18:50:54 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3678","2026-01-07 18:50:54 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3679","2026-01-07 19:05:55 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3680","2026-01-07 19:05:55 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3681","2026-01-07 19:20:56 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3682","2026-01-07 19:20:56 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3683","2026-01-07 19:35:57 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3684","2026-01-07 19:35:57 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
"3685","2026-01-07 19:50:57 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","51532.00","","","","","","","","","","","","",""
"3686","2026-01-07 19:50:57 -12","MARKET_ORDER_REJECT","POSITION_CLOSEOUT","USD/JPY","","","","","","","","","","","","","","",""
